"questionNum","correctAnswer","version","letter"
1,"B","1","A"
2,"B","1","A"
3,"fill in the blank","1","A"
4,"C, D","1","A"
5,"A, B","1","A"
6,"3,4,1,2","1","A"
7," ","1","A"
8,"short answer, 2 blanks","1","A"
9," ","1","A"
10," ","1","A"
11,"short, different","1","A"
1,"A","1","B"
2,"A","1","B"
3,"fill in the blank","1","B"
4,"C, D","1","B"
5,"A, B","1","B"
6,"2,3,1,4","1","B"
7," ","1","B"
8,"short answer, 2 blanks","1","B"
9," ","1","B"
10," ","1","B"
11,"short, different","1","B"
1,"A","2","A"
2,"B","2","A"
3,"fill in the blank","2","A"
4,"B, C","2","A"
5,"B, A","2","A"
6,"4,1,2,3","2","A"
7," ","2","A"
8,"short answer, 2 blanks","2","A"
9," ","2","A"
10," ","2","A"
11,"short, different","2","A"
1,"C","2","B"
2,"A","2","B"
3,"fill in the blank","2","B"
4,"A, B","2","B"
5,"B, A","2","B"
6,"3,4,1,2","2","B"
7," ","2","B"
8,"short answer, 2 blanks","2","B"
9," ","2","B"
10," ","2","B"
11,"short, different","2","B"
